subjectID;age;sex;parentality;babyID_ref;babyID_stim;stim;rank;delay_training_testing_h;nationality;real_baby_status;rated_baby_status;rated_baby_status_binom
Pdad02;28;male;parent;CHM;ROM;ROM_D4;16;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;CHM;CHM_D3;17;15.3;Nigeria;familiar;familiar;1
Pdad02;28;male;parent;CHM;ROM;ROM_D3;18;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;CAE;CAE_D1;19;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;MAJ;MAJ_D1;20;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;ROM;ROM_D1;21;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;CHM;CHM_D3;22;15.3;Nigeria;familiar;familiar;1
Pdad02;28;male;parent;CHM;CAE;CAE_D1;23;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;RAP;RAP_D2;24;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;RAP;RAP_D3;25;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;MAJ;MAJ_D2;26;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;ROM;ROM_D4;27;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;CHM;CHM_D4;28;15.3;Nigeria;familiar;familiar;1
Pdad02;28;male;parent;CHM;ROM;ROM_D3;29;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;MAJ;MAJ_D1;30;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;RAP;RAP_D4;31;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;MAJ;MAJ_D3;32;15.3;Nigeria;unknown;familiar;1
Pdad02;28;male;parent;CHM;CHM;CHM_D1;33;15.3;Nigeria;familiar;familiar;1
Pdad02;28;male;parent;CHM;CHM;CHM_D2;34;15.3;Nigeria;familiar;familiar;1
Pdad02;28;male;parent;CHM;ROM;ROM_D2;35;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;MAJ;MAJ_D4;36;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;CAE;CAE_D4;37;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;CAE;CAE_D2;38;15.3;Nigeria;unknown;unknown;0
Pdad02;28;male;parent;CHM;CAE;CAE_D3;39;15.3;Nigeria;unknown;familiar;1
Pdad02;28;male;parent;CHM;RAP;RAP_D1;40;15.3;Nigeria;unknown;unknown;0
Pdad03;39;male;parent;JOL;CAE;CAE_D2;1;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;CAE;CAE_D4;2;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;MAJ;MAJ_D1;3;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;JOL;JOL_D2;4;13.45;United Kingdom;familiar;familiar;1
Pdad03;39;male;parent;JOL;MIS;MIS_D4;5;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;JOL;JOL_D4;6;13.45;United Kingdom;familiar;unknown;0
Pdad03;39;male;parent;JOL;JOL;JOL_D1;7;13.45;United Kingdom;familiar;unknown;0
Pdad03;39;male;parent;JOL;MIS;MIS_D3;8;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;MAJ;MAJ_D2;9;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;MIS;MIS_D2;10;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;JOL;JOL_D3;11;13.45;United Kingdom;familiar;unknown;0
Pdad03;39;male;parent;JOL;MIS;MIS_D1;12;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;RAP;RAP_D3;13;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;CAE;CAE_D1;14;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;MAJ;MAJ_D3;15;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;RAP;RAP_D1;16;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;CAE;CAE_D3;17;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;MAJ;MAJ_D4;18;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;RAP;RAP_D2;19;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;RAP;RAP_D4;20;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;CAE;CAE_D1;21;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;RAP;RAP_D3;22;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;RAP;RAP_D4;23;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;CAE;CAE_D2;24;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;CAE;CAE_D3;25;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;JOL;JOL_D2;26;13.45;United Kingdom;familiar;familiar;1
Pdad03;39;male;parent;JOL;MAJ;MAJ_D1;27;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;MAJ;MAJ_D2;28;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;JOL;JOL_D3;29;13.45;United Kingdom;familiar;unknown;0
Pdad03;39;male;parent;JOL;RAP;RAP_D2;30;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;CAE;CAE_D4;31;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;JOL;JOL_D4;32;13.45;United Kingdom;familiar;familiar;1
Pdad03;39;male;parent;JOL;MIS;MIS_D3;33;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;MIS;MIS_D4;34;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;JOL;JOL_D1;35;13.45;United Kingdom;familiar;unknown;0
Pdad03;39;male;parent;JOL;RAP;RAP_D1;36;13.45;United Kingdom;unknown;unknown;0
Pdad03;39;male;parent;JOL;MIS;MIS_D2;37;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;MAJ;MAJ_D3;38;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;MAJ;MAJ_D4;39;13.45;United Kingdom;unknown;familiar;1
Pdad03;39;male;parent;JOL;MIS;MIS_D1;40;13.45;United Kingdom;unknown;unknown;0
Pdad04;32;male;parent;JOL;FAE;FAE_D4;1;4.17;Poland;unknown;familiar;1
Pdad04;32;male;parent;JOL;GRG;GRG_D3;2;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;GRG;GRG_D2;3;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;JOL;JOL_D2;4;4.17;Poland;familiar;familiar;1
Pdad04;32;male;parent;JOL;DUH;DUH_D4;5;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;JOL;JOL_D3;6;4.17;Poland;familiar;familiar;1
Pdad04;32;male;parent;JOL;DUH;DUH_D3;7;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;MAJ;MAJ_D2;8;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;DUH;DUH_D1;9;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;FAE;FAE_D2;10;4.17;Poland;unknown;familiar;1
Pdad04;32;male;parent;JOL;JOL;JOL_D1;11;4.17;Poland;familiar;familiar;1
Pdad04;32;male;parent;JOL;MAJ;MAJ_D3;12;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;GRG;GRG_D1;13;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;MAJ;MAJ_D1;14;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;DUH;DUH_D2;15;4.17;Poland;unknown;familiar;1
Pdad04;32;male;parent;JOL;GRG;GRG_D4;16;4.17;Poland;unknown;familiar;1
Pdad04;32;male;parent;JOL;FAE;FAE_D3;17;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;MAJ;MAJ_D4;18;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;FAE;FAE_D1;19;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;JOL;JOL_D4;20;4.17;Poland;familiar;familiar;1
Pdad04;32;male;parent;JOL;GRG;GRG_D3;21;4.17;Poland;unknown;familiar;1
Pdad04;32;male;parent;JOL;DUH;DUH_D2;22;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;JOL;JOL_D4;23;4.17;Poland;familiar;familiar;1
Pdad04;32;male;parent;JOL;MAJ;MAJ_D1;24;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;GRG;GRG_D4;25;4.17;Poland;unknown;familiar;1
Pdad04;32;male;parent;JOL;DUH;DUH_D3;26;4.17;Poland;unknown;unknown;0
Pdad04;32;male;parent;JOL;DUH;DUH_D1;27;4.17;Poland;unknown;unknown;0
